,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,0,ZA,1608171107,82,-33.93,18.42,66.0,11.41
1,Chagoda,100,RU,1608171126,96,59.16,35.33,34.38,8.1
2,Vinh,95,VN,1608170874,70,18.67,105.67,58.46,7.72
3,Tuktoyaktuk,20,CA,1608171127,74,69.45,-133.04,-25.6,3.36
4,Badalona,0,ES,1608171127,77,41.45,2.25,54.0,1.99
5,Chokurdakh,83,RU,1608171127,90,70.63,147.92,-11.52,8.77
6,George Town,20,MY,1608171125,94,5.41,100.34,80.6,3.36
7,Khani,90,GE,1608171127,93,41.96,42.96,48.2,12.75
8,Nikolskoye,90,RU,1608171127,94,59.7,30.79,37.4,20.13
9,Maracás,88,BR,1608171127,99,-13.44,-40.43,61.23,5.84
10,Gandia,71,ES,1608171127,8,38.97,-0.18,52.0,1.99
11,Mayo,90,US,1608171128,100,38.89,-76.51,37.4,10.29
12,Khatanga,0,RU,1608171128,81,71.97,102.5,-33.2,3.22
13,Busselton,0,AU,1608171128,59,-33.65,115.33,69.01,3.0
14,Barrow,1,US,1608171128,76,71.29,-156.79,-7.6,23.04
15,Longyearbyen,90,SJ,1608171128,72,78.22,15.64,10.4,13.87
16,Hong Kong,42,HK,1608170885,76,22.29,114.16,57.99,8.21
17,Srednekolymsk,96,RU,1608171128,88,67.45,153.68,-17.88,10.18
18,Hermanus,100,ZA,1608171067,85,-34.42,19.23,64.0,1.01
19,Esperance,90,AU,1608171096,52,-33.87,121.9,66.2,9.17
20,Cayenne,0,GF,1608171129,94,4.93,-52.33,75.2,3.36
21,Broome,90,US,1608171127,85,42.25,-75.83,21.0,11.41
22,Bethel,100,US,1608171065,92,41.37,-73.41,21.99,12.75
23,Cherskiy,97,RU,1608171129,87,68.75,161.3,-20.61,4.34
24,Pauini,2,BR,1608171129,84,-7.71,-66.98,73.2,0.51
25,Gashua,9,NG,1608171129,27,12.87,11.05,65.03,8.93
26,Atuona,15,PF,1608171130,78,-9.8,-139.03,78.6,20.49
27,Gold Coast,75,AU,1608171130,94,-28.0,153.43,77.0,11.41
28,Taoudenni,0,ML,1608171130,27,22.68,-3.98,63.57,5.46
29,Lewisburg,90,US,1608171130,86,35.45,-86.79,35.6,3.36
30,Mawlaik,0,MM,1608171130,66,23.63,94.42,67.37,1.72
31,Pevek,61,RU,1608171130,91,69.7,170.31,8.37,4.81
32,Albany,90,US,1608171027,66,42.6,-73.97,18.0,9.17
33,Bluff,0,NZ,1608171131,63,-46.6,168.33,60.01,5.99
34,Butaritari,82,KI,1608171070,78,3.07,172.79,82.17,19.33
35,Pozo Colorado,11,PY,1608171131,92,-23.49,-58.8,74.43,5.68
36,Ushuaia,40,AR,1608171075,81,-54.8,-68.3,42.8,28.86
37,Touros,40,BR,1608171091,83,-5.2,-35.46,80.6,8.05
38,Sveio,100,NO,1608171131,87,59.54,5.35,46.99,21.92
39,Vilyuysk,95,RU,1608171131,84,63.76,121.62,-30.96,1.86
40,Mataura,20,NZ,1608171073,63,-46.19,168.86,60.01,5.99
41,Ahipara,0,NZ,1608171132,58,-35.17,173.17,68.7,10.45
42,East London,0,ZA,1608171132,82,-33.02,27.91,66.7,5.48
43,Vaini,75,TO,1608171132,74,-21.2,-175.2,80.6,9.17
44,Ierapetra,60,GR,1608171132,69,35.01,25.74,59.0,10.02
45,Rikitea,2,PF,1608171132,73,-23.12,-134.97,77.56,10.6
46,Majene,95,ID,1608171132,66,-3.54,118.97,85.5,4.68
47,Mar del Plata,0,AR,1608170847,49,-38.0,-57.56,68.0,5.82
48,Tongliao,0,CN,1608171133,88,43.61,122.27,7.27,8.01
49,Bagdarin,3,RU,1608171133,78,54.43,113.6,-8.41,6.46
50,Puerto Ayora,19,EC,1608171133,92,-0.74,-90.35,72.0,1.01
51,Alice,1,US,1608171133,39,27.75,-98.07,51.8,5.82
52,Ponta do Sol,40,PT,1608171133,67,32.67,-17.1,62.6,4.7
53,Chui,0,UY,1608171005,92,-33.7,-53.46,62.24,6.76
54,Kapaa,75,US,1608171133,74,22.08,-159.32,80.6,14.99
55,Upernavik,83,GL,1608171069,84,72.79,-56.15,16.2,3.8
56,Saint-Philippe,90,RE,1608171100,64,-21.36,55.77,75.2,4.7
57,Hithadhoo,13,MV,1608171134,71,-0.6,73.08,81.72,10.13
58,Arraial do Cabo,34,BR,1608171134,89,-22.97,-42.03,75.47,21.54
59,Carutapera,29,BR,1608170916,83,-1.2,-46.02,78.42,5.7
60,Paraíso,20,CR,1608171134,77,9.84,-83.87,69.8,2.24
61,Sinnamary,100,GF,1608171134,85,5.38,-52.95,78.49,9.84
62,Codrington,99,AU,1608171134,84,-38.27,141.97,65.01,11.05
63,Yermolayevo,100,RU,1608171135,98,52.72,55.8,20.12,12.44
64,Hofn,100,IS,1608171135,89,64.25,-15.21,39.31,18.19
65,San Jose,90,US,1608171094,58,37.34,-121.89,57.2,4.7
66,Arman',100,RU,1608171135,84,59.7,150.17,-3.68,16.02
67,Turangi,0,NZ,1608171135,37,-39.0,175.93,82.99,4.0
68,Ribeira Grande,100,PT,1608171101,89,38.52,-28.7,63.91,22.95
69,Bredasdorp,100,ZA,1608171135,72,-34.53,20.04,64.4,3.36
70,Severo-Kuril'sk,98,RU,1608171135,88,50.68,156.12,31.73,9.84
71,Thompson,40,CA,1608170877,76,55.74,-97.86,-9.4,5.82
72,Mogoytuy,5,RU,1608171136,82,51.28,114.92,1.2,21.5
73,Christchurch,94,NZ,1608171082,72,-43.53,172.63,61.0,6.93
74,Tuatapere,80,NZ,1608171097,63,-46.13,167.68,60.01,5.99
75,Narsaq,100,GL,1608171136,38,60.92,-46.05,39.2,40.26
76,Juneau,90,US,1608170952,100,58.3,-134.42,30.2,3.2
77,Klaksvík,100,FO,1608171136,87,62.23,-6.59,48.2,11.41
78,Killybegs,51,IE,1608171136,96,54.63,-8.45,45.0,5.99
79,Santa Maria,75,BR,1608171137,78,-29.68,-53.81,75.2,10.29
80,Berlevåg,100,NO,1608171137,89,70.86,29.09,25.07,11.59
81,La Concordia,3,NI,1608171137,93,13.2,-86.17,65.01,3.83
82,Port Blair,100,IN,1608170878,75,11.67,92.75,82.63,10.78
83,Punta Arenas,100,CL,1608171130,65,-53.15,-70.92,46.4,19.46
84,Isangel,10,VU,1608171137,64,-19.55,169.27,80.62,18.54
85,Kiruna,100,SE,1608171137,92,67.86,20.23,19.4,4.7
86,Kumul,0,CN,1608171137,73,42.8,93.45,14.86,2.86
87,Hobart,75,AU,1608171138,77,-42.88,147.33,60.8,9.17
88,Anchorage,90,US,1608170908,79,61.22,-149.9,26.6,4.7
89,Juye,0,CN,1608171138,65,35.39,116.09,36.46,6.4
90,Skanderborg,100,DK,1608171138,94,56.04,9.93,42.01,7.0
91,Padang,98,ID,1608171138,77,-0.95,100.35,78.76,2.86
92,Zaraza,76,VE,1608170942,86,9.35,-65.32,75.31,7.58
93,Beneditinos,0,BR,1608171138,74,-5.45,-42.37,82.4,6.93
94,Vestmannaeyjar,100,IS,1608171099,70,63.44,-20.27,40.66,9.57
95,Asău,100,RO,1608171139,100,46.43,26.4,32.0,1.74
96,Lorengau,100,PG,1608171123,67,-2.02,147.27,86.79,6.26
97,Popondetta,34,PG,1608171139,54,-8.75,148.25,91.27,5.91
98,San Patricio,1,US,1608171139,40,28.02,-97.52,51.8,5.82
99,Carnarvon,90,AU,1608171139,73,-24.87,113.63,75.2,24.16
100,Yuzawa,75,JP,1608171139,89,39.17,140.5,32.0,20.8
101,Tiarei,20,PF,1608171139,55,-17.53,-149.33,87.8,11.41
102,Mersing,40,MY,1608171140,100,2.43,103.84,75.2,4.7
103,Sørland,4,NO,1608171140,74,67.67,12.69,38.26,9.55
104,Qaanaaq,0,GL,1608171140,69,77.48,-69.36,0.72,7.36
105,Foumban,64,CM,1608171140,43,5.73,10.9,63.72,2.06
106,Guerrero Negro,0,MX,1608171140,57,27.98,-114.06,56.8,3.78
107,Aklavik,100,CA,1608171140,74,68.22,-135.01,-23.8,4.7
108,Saskylakh,62,RU,1608171140,82,71.92,114.08,-35.86,0.6
109,New Norfolk,100,AU,1608171140,89,-42.78,147.06,60.01,0.6
110,Portoferraio,59,IT,1608171141,98,42.81,10.31,57.0,5.01
111,Paamiut,66,GL,1608171141,77,61.99,-49.67,35.85,16.26
112,Khasan,0,RU,1608171141,74,42.43,130.64,21.31,20.11
113,Constitución,0,CL,1608171141,67,-35.33,-72.42,56.07,9.73
114,Shaowu,100,CN,1608171141,85,27.34,117.48,41.79,2.01
115,Muskegon,90,US,1608171141,68,43.3,-86.13,28.4,6.93
116,Tasiilaq,97,GL,1608171142,53,65.61,-37.64,24.8,20.8
117,Naco,0,MX,1608171142,32,31.33,-109.95,41.0,3.0
118,Alyangula,75,AU,1608171142,62,-13.85,136.42,87.8,5.82
119,Leningradskiy,100,RU,1608171142,94,69.38,178.42,14.97,28.14
120,Unity,0,CA,1608171142,96,52.45,-109.17,14.52,3.2
121,Schwarzenbach,90,DE,1608171142,93,49.73,12.0,37.4,3.36
122,Airai,30,TL,1608171142,89,-8.93,125.41,72.36,3.11
123,Dera Bugti,0,PK,1608171142,48,29.03,69.15,46.94,1.1
124,Cidreira,100,BR,1608171080,91,-30.18,-50.21,73.04,8.21
125,College,75,US,1608171093,49,64.86,-147.8,-0.4,10.29
126,Kapenguria,0,KE,1608171143,67,1.25,35.09,56.41,4.18
127,Dali,0,CN,1608171143,60,25.7,100.18,50.65,4.25
128,Waipawa,85,NZ,1608171110,87,-41.41,175.52,64.99,17.22
129,Yellowknife,20,CA,1608171094,65,62.46,-114.35,-40.0,8.05
130,Meulaboh,95,ID,1608171143,86,4.14,96.13,78.31,5.88
131,Dingli,0,MT,1608171144,93,35.86,14.38,55.99,6.93
132,Castro,100,BR,1608171015,95,-24.79,-50.01,65.28,3.94
133,Yamada,47,JP,1608171144,71,39.47,141.95,34.32,15.17
134,Strezhevoy,0,RU,1608171144,84,60.73,77.59,8.6,6.71
135,Bambous Virieux,75,MU,1608171086,94,-20.34,57.76,75.2,4.7
136,Arosa,89,CH,1608171144,92,46.78,9.68,39.99,3.36
137,Samarai,96,PG,1608171144,67,-10.62,150.67,83.26,4.16
138,São Filipe,100,CV,1608171145,73,14.9,-24.5,72.91,14.79
139,Campbellsville,90,US,1608171145,100,37.34,-85.34,35.6,6.93
140,Wanning,98,CN,1608171145,85,18.8,110.4,65.73,13.35
141,Probolinggo,92,ID,1608171145,67,-7.75,113.22,84.45,1.97
142,Port Alfred,1,ZA,1608171145,94,-33.59,26.89,64.99,5.01
143,Provideniya,90,RU,1608171145,85,64.38,-173.3,19.4,17.9
144,Hambantota,75,LK,1608171090,100,6.12,81.12,71.6,2.24
145,Macomb,90,US,1608171146,74,40.46,-90.67,28.99,5.82
146,Faanui,100,PF,1608171146,76,-16.48,-151.75,80.56,19.53
147,Wuwei,93,CN,1608171146,85,37.93,102.64,19.38,1.81
148,Eston,5,CA,1608171146,78,51.15,-108.75,19.0,6.93
149,Olafsvik,14,IS,1608171121,85,64.89,-23.71,35.58,23.0
150,Kirakira,28,SB,1608171147,71,-10.45,161.92,86.27,5.1
151,Mahébourg,75,MU,1608171147,94,-20.41,57.7,75.2,4.7
152,Ciudad Valles,73,MX,1608171147,54,21.98,-99.02,60.91,4.21
153,Kargasok,100,RU,1608171147,95,59.06,80.86,8.87,8.97
154,Waingapu,100,ID,1608171147,68,-9.66,120.26,85.32,5.17
155,Avarua,100,CK,1608171147,74,-21.21,-159.78,84.2,11.41
156,Fallon,75,US,1608170913,80,39.47,-118.78,41.0,6.93
157,Cape Canaveral,75,US,1608171148,88,28.41,-80.6,73.4,9.17
158,Port Elizabeth,20,ZA,1608171148,93,-33.92,25.57,64.4,13.87
159,Hirara,75,JP,1608171148,77,24.8,125.28,64.4,18.34
160,Saint Paul Harbor,90,US,1608170875,80,57.79,-152.41,30.2,3.24
161,Laas,5,IT,1608171148,85,46.62,10.7,35.01,1.97
162,Chadiza,100,ZM,1608171148,89,-14.07,32.44,68.09,2.93
163,Tabou,100,CI,1608171149,84,4.42,-7.35,79.14,7.27
164,Fenoarivo,40,MG,1608171149,88,-18.93,47.44,62.6,6.93
165,Kamaishi,75,JP,1608171149,92,39.27,141.88,21.2,2.24
166,Lebu,32,CL,1608171102,80,-37.62,-73.65,53.82,18.07
167,Yulara,8,AU,1608171149,33,-25.24,130.99,89.6,16.11
168,Bucerías,20,MX,1608171149,78,20.75,-105.33,73.4,6.93
169,Mossamedes,40,AO,1608171149,84,-15.2,12.15,65.1,3.74
170,El Paujíl,65,CO,1608171150,91,1.57,-75.33,72.43,3.4
171,Nanortalik,100,GL,1608171094,90,60.14,-45.24,28.44,7.81
172,Port Hardy,90,CA,1608171000,87,50.7,-127.42,46.4,13.87
173,Skibbereen,40,IE,1608171150,93,51.55,-9.27,41.0,10.29
174,Salamiyah,100,SY,1608171150,78,35.01,37.05,53.74,10.58
175,Saint Anthony,90,US,1608170961,58,45.02,-93.22,28.4,8.05
176,Faya,0,SA,1608171150,61,18.39,42.45,51.8,2.73
177,Verkhnyaya Inta,94,RU,1608171147,94,65.98,60.31,11.93,23.53
178,Songjianghe,0,CN,1608171151,72,42.19,127.48,9.64,7.58
179,Hopelchén,5,MX,1608171151,88,19.77,-89.85,77.0,6.93
180,Tromsø,75,NO,1608171151,86,69.65,18.96,28.4,11.41
181,Talcahuano,0,CL,1608171151,63,-36.72,-73.12,60.8,12.75
182,Crestview,90,US,1608170933,81,30.76,-86.57,50.0,9.17
183,Irituia,97,BR,1608171151,93,-1.77,-47.44,75.16,3.51
184,Deputatsky,100,RU,1608171152,91,69.3,139.9,-16.55,1.66
185,Gizo Government Station,76,SB,1608171152,72,-8.1,156.84,85.37,10.4
186,Luwuk,100,ID,1608171152,59,-0.95,122.79,88.12,0.76
187,Hobyo,0,SO,1608171152,77,5.35,48.53,76.66,15.99
188,Smirnykh,100,RU,1608171152,84,49.75,142.83,13.05,10.92
189,Georgiyevka,0,KZ,1608171152,83,43.04,74.71,-4.0,2.24
190,Jamestown,90,US,1608171153,92,42.1,-79.24,25.0,6.93
191,Nome,75,US,1608171153,78,64.5,-165.41,12.2,13.87
192,Burnie,72,AU,1608171153,87,-41.07,145.92,62.01,3.0
